id,task_1,task_2
8100aced-d32b04e6,satire,satire
c78a2757-ab02dcb2,no-satire,no-satire
5c93df49-76300183,no-satire,no-satire
110a1c6b-10ce75e5,satire,satire
4d281a44-f38fd23c,satire,satire
05a5541f-6990eb92,satire,satire
dac3a604-8db55b1f,satire,satire
6426cdd9-6ca2b59a,no-satire,no-satire
3b87aaf9-e4e45141,satire,satire
0a2aa7c1-b42f228b,satire,satire
8a0bf40a-f36c9bca,satire,satire
64663498-94e21a1b,no-satire,no-satire
8324893f-f5b70380,satire,satire
e9fad71a-597f1f6b,no-satire,no-satire
dcbb4acd-97cf7a50,no-satire,no-satire
5048510f-01ea788b,satire,satire
dd5750b0-45a2d21e,satire,satire
f300ee65-05b4bb91,satire,satire
e875717a-d715955f,no-satire,no-satire
c6120523-4a898383,no-satire,no-satire
78b035f9-a9c239e9,no-satire,no-satire
73811c04-41317d5f,no-satire,no-satire
48fdfa48-5a447e9a,satire,satire
2515f94d-43e4f98c,satire,satire
ef6bd0de-02d2594d,no-satire,no-satire
711eab39-367ae01e,no-satire,no-satire
a048e433-0e2dc6a2,satire,satire
1913b7ee-6c39f244,satire,satire
263b292f-7928f686,satire,satire
a8fcfa89-ba0d21eb,satire,satire
e9332ecf-ad12ee4e,no-satire,no-satire
e3b3bf73-49dcad5b,satire,satire
e5a7391e-c063327c,no-satire,no-satire
67369774-46c76a1f,no-satire,no-satire
8c3b66e6-54d0e504,no-satire,no-satire
bc20c5f3-c9da1e4d,no-satire,no-satire
411b1053-de7bf2b5,satire,satire
837775ea-49441034,satire,satire
773e0e49-0803ff7d,satire,satire
3542fec8-e2de750e,satire,satire
6953c559-c73d9234,no-satire,no-satire
7592c76e-bb740a96,satire,satire
24743979-4bbf504d,satire,satire
42e454de-08ea4087,no-satire,no-satire
5dcd8727-4932a6a7,satire,satire
616a8cb0-17a3b443,no-satire,no-satire
523b1f95-c352de95,satire,satire
7fec97c8-9ea1a89c,no-satire,no-satire
4bd6d1a5-d3d7de3d,satire,satire
f5f33a76-f2a66fc1,no-satire,no-satire
e4721084-037d703e,satire,satire
f64ceecc-340b36f8,satire,satire
c5a143f7-d95d1bda,no-satire,no-satire
d3307556-58db6aa5,satire,satire
bb54602e-13c94d63,no-satire,no-satire
99dd7e42-ae5b4515,no-satire,no-satire
2c60dd86-ddd1a21c,satire,satire
b1f3783e-1478e746,no-satire,no-satire
68c3d8a6-153d1cab,satire,satire
f1ad176e-e3664938,no-satire,no-satire
af547588-afec8ec7,satire,satire
4e611a84-43466128,no-satire,no-satire
f2cfc98c-f14492f7,satire,satire
6ec85cf9-dfcb2912,satire,satire
d6e12be7-cfd789cd,satire,satire
0b263b68-4763b9d9,no-satire,no-satire
a28c4a8b-526f34ad,no-satire,no-satire
49c5b955-1849fe13,no-satire,no-satire
f4d3d447-f677f64e,no-satire,no-satire
262b9933-db6ec4bf,no-satire,no-satire
f9e9033d-3b59b2e6,no-satire,no-satire
2fbd737b-23ab576c,no-satire,no-satire
4848074f-2f2cc136,satire,satire
d392c5b5-90dfdc07,satire,satire
c5757000-1092fc3d,satire,satire
7afefbe7-d298c1b4,satire,satire
49b9a5b9-bf3a1bf5,no-satire,no-satire
5769a6f4-19c40331,no-satire,no-satire
a3b75f45-18513b9f,no-satire,no-satire
b32ffdfd-794e79d7,satire,satire
c479980e-e84e2315,satire,satire
0096563c-b83dd149,satire,satire
e3c68b47-6131f624,no-satire,no-satire
c8e3c9f8-f6c0bcae,no-satire,no-satire
c6524fad-59b033ce,no-satire,no-satire
67b0f263-7496e838,satire,satire
cc8ebf00-489aeafe,satire,satire
3d2752f8-88784a11,no-satire,no-satire
a5f1dec1-5551441c,no-satire,no-satire
aec9ef21-ae8bd9bf,no-satire,no-satire
bdbfc2db-e0163deb,satire,satire
3a756653-408fb1ff,no-satire,no-satire
0b93107f-72a7fc95,satire,satire
756465bc-dcaf934b,no-satire,no-satire
3a29240f-195573a0,no-satire,no-satire
1a45e8b0-d18852a4,satire,satire
0a058ddf-3e6b0594,no-satire,no-satire
b9845714-222a2ad2,no-satire,no-satire
44c61e76-e836840e,satire,satire
cd0ab330-48d95f95,satire,satire
4402963d-397c9d74,no-satire,no-satire
befc3cc6-4b33f46c,no-satire,no-satire
c6f0284a-44cc9051,no-satire,no-satire
43bf9840-89ead12b,satire,satire
2d91409b-bfec910a,satire,satire
8a9a5bac-cf111da2,satire,satire
84934f7d-96c84da2,satire,satire
32cd27bd-9e7fcad4,satire,satire
0a0fd156-bf31280a,no-satire,no-satire
5ccc0f4b-11e5360e,satire,satire
97870edd-0011d13a,satire,satire
9febc22f-41b58a39,satire,satire
e8d1fdde-28fee600,no-satire,no-satire
ffad255b-55b290d2,satire,satire
ef6cf615-9a1bad64,no-satire,no-satire
bece2d30-85890b85,satire,satire
8c4f8416-8a8f2ebf,satire,satire
f1eb5271-971d69d3,no-satire,no-satire
aacb9103-9ed04353,satire,satire
b250f41e-9bbbfd72,satire,satire
9cbe2df1-318b5ea7,no-satire,no-satire
6cfcfa87-093eabf1,satire,satire
2a4b465d-e4de6d91,satire,satire
2894c7aa-5710ce68,no-satire,no-satire
9543f2c6-e3578d6d,satire,satire
84e6904b-dbc5ff86,satire,satire
f529884e-49bee00f,no-satire,no-satire
9e3e472a-c6fdd825,satire,satire
99a8624a-962d0091,no-satire,no-satire
4cdb1b1d-bee7ad10,no-satire,no-satire
6843a551-8c0ad337,satire,satire
e45229f8-6e716b03,no-satire,no-satire
21b347d6-0852cf6c,no-satire,no-satire
f3ed2aac-078c878f,no-satire,no-satire
e9d03b0a-bc89e677,satire,satire
7127b623-d263423c,no-satire,no-satire
b939b06b-f535cbb4,satire,satire
1f570df9-3c0139be,no-satire,no-satire
218d9277-11f3bbcd,satire,satire
26e6335f-211f795c,no-satire,no-satire
c6512efd-573f59a8,no-satire,no-satire
63c01ca0-bfa018e8,satire,satire
28faea4e-cb50acd3,no-satire,no-satire
75f2c378-cdfe176e,no-satire,no-satire
b0bbd11e-de62ac2f,satire,satire
4a23120e-f8d3e6fe,satire,satire
54833378-3a35acda,no-satire,no-satire
b99e416a-d9703028,no-satire,no-satire
72d9b69d-55704bd6,no-satire,no-satire
013a2677-2248d270,satire,satire
cebdb81b-77027272,no-satire,no-satire
f0e563fe-0f26650c,no-satire,no-satire
2429518d-06d2d1d6,satire,satire
3f04aacc-7d52e9cc,satire,satire
973638dd-880bbbf9,satire,satire
2a03a178-5436c137,no-satire,no-satire
0af151de-2943a2f6,satire,satire
8cc7d9f0-ab902b0d,satire,satire
59a41069-1aa2c196,no-satire,no-satire
677848b1-455b7d70,no-satire,no-satire
030b532e-aa8b1dcd,satire,satire
aa8c4f75-cd5f6c62,satire,satire
e213bfac-5b424daa,no-satire,no-satire
a8281e37-d2925c58,satire,satire
671f44f4-cab83d0a,no-satire,no-satire
96e368f2-452256ff,satire,satire
3b4e1e13-9589087a,no-satire,no-satire
500d3b36-9072a794,no-satire,no-satire
6d53c600-c95f65ca,no-satire,no-satire
bd8befbd-aae2f17e,satire,satire
1cb45e94-544d8564,satire,satire
87d7199a-0a227f67,satire,satire
dee8e754-e84808c2,satire,satire
818f4336-948b3811,no-satire,no-satire
dc56349b-933c7a26,no-satire,no-satire
4fff2adb-a9cc1be2,satire,satire
29b9f9f8-3990928b,no-satire,no-satire
1b824da1-b1d84afa,no-satire,no-satire
53d9fa68-ef2ee9a5,no-satire,no-satire
3d80fc65-9b1d2f1e,no-satire,no-satire
4449366c-28990085,no-satire,no-satire
6db74f01-119b9da7,no-satire,no-satire
690b5417-ec8d8977,satire,satire
71f24f14-1db386b8,no-satire,no-satire
a57f93d7-ec56a03e,satire,satire
96f4e865-00710187,no-satire,no-satire
65b326cb-00bc1a20,satire,satire
4c05610e-aaa556bf,no-satire,no-satire
4d152638-54bf0e72,satire,satire
8a5fef60-2743676c,no-satire,no-satire
34213796-22d2a61d,satire,satire
9dfc853a-0b49f7a2,satire,satire
9b027c7c-cbbb0bbc,no-satire,no-satire
8ed1ddd1-04c8f3c6,no-satire,no-satire
eb644883-56e1e598,no-satire,no-satire
e17d276c-b87e6f92,no-satire,no-satire
df3ada45-e21e2005,no-satire,no-satire
59500882-e3005738,satire,satire
ea8608c4-8311f982,satire,satire
3bfe60d5-9679ef46,satire,satire
d374fada-16f71826,no-satire,no-satire
f377434b-add4fff6,satire,satire
1ebb4b0b-9f8009d1,satire,satire
392d52ef-e703e3f2,satire,satire
6f658efa-3ce896d5,satire,satire
1d479a5c-63fd126f,satire,satire
203a6aa1-bf9585f1,satire,satire
5c0a96da-5769f784,no-satire,no-satire
72dbece1-7393edaf,no-satire,no-satire
741faf7f-ad81fb97,no-satire,no-satire
603c20e4-4d2b6bc3,no-satire,no-satire
49c6a879-56d3d161,no-satire,no-satire
e1154c0a-071ae749,satire,satire
814a803d-f8cef400,satire,satire
d329a41b-5200ac18,satire,satire
f084896c-39870e6d,no-satire,no-satire
b80cb82c-60fb0d8f,satire,satire
4ebc993c-bad8b915,satire,satire
70dee507-58ad02ab,satire,satire
c8c6f064-745d8d63,satire,satire
3e22c0dc-0ba9d79e,satire,satire
0b26b1ad-f33cba82,satire,satire
aff2dade-89d82828,satire,satire
cd231f6f-9e854d4a,satire,satire
ad16d349-70a8053e,no-satire,no-satire
dbc66f09-3fb95e42,satire,satire
d4955d40-5fce4e12,no-satire,no-satire
f1b22b13-09ee5181,no-satire,no-satire
26120550-b0b9d214,satire,satire
70eb2a44-63694759,no-satire,no-satire
80c2ec4e-c8c17667,no-satire,no-satire
6ec3dbd7-11e8ccb7,satire,satire
7efc8fed-687a3b04,no-satire,no-satire
fea74620-0415ba8a,no-satire,no-satire
0b2e324b-93879d2c,satire,satire
24b6f25a-1ad696d2,no-satire,no-satire
a057b730-86fbc9d5,no-satire,no-satire
86545155-79055439,no-satire,no-satire
9f725500-3406ba63,satire,satire
32a31e62-6e241ac4,no-satire,no-satire
40a6b440-d1f0bd3b,satire,satire
dcdd617a-afcaff4e,no-satire,no-satire
f5222e6c-d565d29e,satire,satire
e86ffe09-b354fc04,satire,satire
22af0ba8-38ee30a6,no-satire,no-satire
8f04ee86-7deb8785,no-satire,no-satire
f25c39bf-308f1f05,no-satire,no-satire
197e6b35-d6cc40fa,no-satire,no-satire
f57b6b3c-33d9b334,no-satire,no-satire
5c535671-2f72e079,no-satire,no-satire
a3d62913-70f40310,no-satire,no-satire
4c41c63a-96068547,satire,satire
b59210cb-d5a9c39d,satire,satire
71a64819-1a3cff06,satire,satire
102fc187-90cdf454,no-satire,no-satire
c2baff75-5372da7f,satire,satire
b38a2571-98a7bb2b,satire,satire
0d2e4210-5c7c42a1,no-satire,no-satire
147305bc-af2e44fb,no-satire,no-satire
52c7e61a-2c77fd1e,no-satire,no-satire
fb9f7fda-3e94f3b1,no-satire,no-satire
f803b36d-a5790497,satire,satire
e262c397-6acb8018,satire,satire
4a2b7362-8249423a,no-satire,no-satire
73b5d6f0-06fb5df7,no-satire,no-satire
d3ca83c4-0768241e,satire,satire
6fd73dc3-217d915e,satire,satire
bee26dd0-a7cb8a00,satire,satire
b1b5479f-8ab94d2b,satire,satire
334e8f88-3fdd231f,no-satire,no-satire
43865313-63cec802,no-satire,no-satire
fdf694ef-3ede72ec,no-satire,no-satire
0d714e04-6eaf8eee,satire,satire
1abe97ee-d21dd0a6,no-satire,no-satire
f3617371-e156a98c,no-satire,no-satire
daef9b6f-6a3ef435,satire,satire
d030c6fd-875f7875,no-satire,no-satire
4ec8b49a-b9a45813,satire,satire
9e2f11a5-a64541aa,satire,satire
b0b02222-5c87c0c2,no-satire,no-satire
25b5c5f2-6604f441,no-satire,no-satire
41acb14f-a4980d7e,satire,satire
18dc6b67-f58c97df,satire,satire
ad3e559e-404d798a,no-satire,no-satire
75ed479a-e83b0f91,satire,satire
4630f49a-4502214a,no-satire,no-satire
30e1dec9-76bb4545,satire,satire
b7394765-430f5b58,satire,satire
d5b125ac-4e7dd2ac,no-satire,no-satire
f1a23c1f-9ba6bcb9,no-satire,no-satire
3523f69f-4176ee0f,no-satire,no-satire
20d71385-9c510790,no-satire,no-satire
21174dbc-2045a083,no-satire,no-satire
cadc659f-ef77a001,satire,satire
8856370c-2d4feae8,no-satire,no-satire
691b8529-4331cf61,satire,satire
b070b418-02dda09f,no-satire,no-satire
6805005b-d8f9d2a8,no-satire,no-satire
7e11a6e9-805d653f,satire,satire
f99e1fae-9229c7c6,satire,satire
8737d4fc-4e904e29,satire,satire
c8bd6235-7cf624af,no-satire,no-satire
85ddc2e6-323f8fa5,satire,satire
c7c2e581-90289aa3,no-satire,no-satire
fe24b620-a1440e5e,satire,satire
6e5495a4-558048d1,no-satire,no-satire
dd62bad1-cb190278,no-satire,no-satire
b27d194f-07077ade,satire,satire
834175ba-6ce83fd9,satire,satire
1cbe1d01-6cdd172b,no-satire,no-satire
bfbe8cf7-35934a46,satire,satire
4c675f52-d4dae9ab,satire,satire
8beaec7a-71c4f7d8,no-satire,no-satire
0348b42b-e463e8ae,no-satire,no-satire
8cf91443-c737c0d7,no-satire,no-satire
9a8b8d50-43461684,satire,satire
24758ab0-3e85727d,satire,satire
52c86c64-50c96cb4,no-satire,no-satire
3d74689c-1906d36e,no-satire,no-satire
e85f37bd-d15cec0b,satire,satire
258ecb92-1ab828fb,no-satire,no-satire
9babb637-98517ea6,satire,satire
d677b857-59b3acf5,no-satire,no-satire
ed1ad8e5-55b612f7,no-satire,no-satire
de1fba5a-4317d2c3,satire,satire
014998bb-23fb10f2,no-satire,no-satire
f795cd4d-9caeb2d2,satire,satire
97716525-01516374,satire,satire
58812dfb-e54e547a,satire,satire
38a25f68-462ce96a,no-satire,no-satire
004dbcc0-c90aeeb5,no-satire,no-satire
6b5b5e1e-e693fbb9,no-satire,no-satire
616eedfd-371e00e7,satire,satire
4b562ed1-233cf888,no-satire,no-satire
1f2b3816-1f31c52f,satire,satire
861f8394-b148dc51,no-satire,no-satire
a00e4fb9-fd22f502,satire,satire
b4728e34-9e2df07d,no-satire,no-satire
c1ecf755-4fbc2fb3,satire,satire
9575210c-69cb7881,satire,satire
506f4e33-865aed9f,no-satire,no-satire
1993446f-6f330910,satire,satire
d5539218-8a8d6b6a,no-satire,no-satire
2a47dc1e-a17b28cb,satire,satire
6f52b91e-1becc7df,satire,satire
c6c7e216-8398d8be,satire,satire
f82a14c1-73088687,no-satire,no-satire
0026ef86-eefa1994,satire,satire
050ef4c9-8ba59aeb,satire,satire
5ece226c-2be86408,satire,satire
a5f4b9f2-32924985,satire,satire
d566bea1-80e5a242,satire,satire
d476721d-00638a3d,no-satire,no-satire
dd5c05ff-0a8440e0,no-satire,no-satire
e9994c56-dad5ca27,satire,satire
11cc9d14-02e7f6f5,no-satire,no-satire
55965fe5-39543bb8,no-satire,no-satire
79753488-7f36ba5c,satire,satire
9209257b-3078140f,satire,satire
e7446ea7-caf7475a,no-satire,no-satire
d4487b18-b80a3fe7,satire,satire
fa5e948b-3c26867e,no-satire,no-satire
bf3ec9a4-bcd4e169,no-satire,no-satire
a1a40cf9-536cd688,satire,satire
2a9dca29-6578e803,no-satire,no-satire
c7e1f28d-34b936fb,no-satire,no-satire
657f04ad-e2ae6bf9,satire,satire
e977c29f-e48f785e,satire,satire
f9626d52-2a1aae23,no-satire,no-satire
83c9d118-858b0116,no-satire,no-satire
3ba62779-2f8c0f1a,satire,satire
44ddd3de-b38b3c4d,satire,satire
0882e2fe-9ed45906,satire,satire
8fc9e149-3f7e0c6b,no-satire,no-satire
42fc2451-f0627e28,satire,satire
ccf98599-291b28fb,no-satire,no-satire
079a02a4-bb563f1c,satire,satire
bd5aee62-4935b0e4,no-satire,no-satire
3ad1dc32-8945e056,satire,satire
a85ed1c2-60cc14c4,no-satire,no-satire
6ec22d83-04c66058,satire,satire
3b30041f-5530c670,no-satire,no-satire
5e4fc75f-c5424848,satire,satire
19f65b21-8ce6812e,no-satire,no-satire
f350502b-18e074ee,satire,satire
6b231b7c-86550e03,no-satire,no-satire
28184f9d-7437dcad,no-satire,no-satire
a3e817de-d2ef9a9e,satire,satire
a9f68df4-e09faa0b,no-satire,no-satire
dbe062b4-b662e85a,no-satire,no-satire
b98ae780-9417de42,satire,satire
b38636d3-82ad8ba9,satire,satire
b506500b-a1cfdc11,no-satire,no-satire
72866e7a-47576854,satire,satire
5936ef21-09c3525a,satire,satire
57ce1b77-f6f9a180,satire,satire
adfe877c-1c62a87f,no-satire,no-satire
514d7001-1fba0493,satire,satire
cc13608e-74dbe567,satire,satire
cb908406-d062988c,no-satire,no-satire
e540e3b2-a3d837ea,satire,satire
937ba340-c81cc649,satire,satire
ce417edb-ade0ad1b,no-satire,no-satire
eeed005e-97f6814b,no-satire,no-satire
0cd378a5-d3ddd66a,satire,satire
82274799-14cb1384,no-satire,no-satire
f9ed07ba-5706de05,no-satire,no-satire
3cd959da-948d0876,no-satire,no-satire
7d575768-d690cdb5,satire,satire
691aa95c-e615aad2,no-satire,no-satire
ac6805eb-916db8a7,satire,satire
e0ca1e61-e9e3e525,no-satire,no-satire
e4bd0c0c-f3f618c8,no-satire,no-satire
d599428f-131ee282,satire,satire
7adf7b24-d529a828,no-satire,no-satire
967bb5ac-a1318671,satire,satire
9df42f98-7881dd56,no-satire,no-satire
390d0773-f173ca4a,no-satire,no-satire
b527a9a6-72ce08a9,no-satire,no-satire
76aa6b8d-cecfdf59,no-satire,no-satire
925a93eb-0a1b151f,satire,satire
ea6edde1-4b3207e4,no-satire,no-satire
579fa338-ab1f2562,satire,satire
eb4ad203-80222cb8,no-satire,no-satire
44892c1a-31d279e3,satire,satire
49a7de1c-9e530120,satire,satire
533dbbc7-b927dde7,no-satire,no-satire
567d4bfd-0f8b6f3c,no-satire,no-satire
d79908d1-d7a6a8d7,satire,satire
81bf81e5-53201b2b,satire,satire
503ed8d1-7646aac0,no-satire,no-satire
d641ac6f-c1604e31,no-satire,no-satire
258d7389-ed1c654b,no-satire,no-satire
5049b7d0-66aa0602,satire,satire
94df6d2d-bace1c92,no-satire,no-satire
859a3764-f467a494,satire,satire
d583ac19-c9598e66,no-satire,no-satire
90b2e148-a6c62463,no-satire,no-satire
82866ceb-f8fb1659,no-satire,no-satire
1671c060-39d4dd9d,satire,satire
808a03f5-9a0eaf4a,satire,satire
97d76a08-50be9c48,no-satire,no-satire
423825d9-1b8e5c18,no-satire,no-satire
6fdfd083-4ef61303,satire,satire
fdeeffb0-a3acfe44,no-satire,no-satire
09c172a9-796d080f,satire,satire
655209ff-5b69c8ec,satire,satire
e2839cc0-60b98ef2,satire,satire
055d166b-90b5254a,no-satire,no-satire
3d8ad51d-a1040fcc,no-satire,no-satire
66d6ee10-227bea97,satire,satire
145191a5-24ba71ce,satire,satire
d9aa01b6-fa605d88,satire,satire
7e47299e-858d6bb1,no-satire,no-satire
8e3edba0-e351a2f2,no-satire,no-satire
f145e407-935aa661,no-satire,no-satire
81bd5cc1-f4038fac,no-satire,no-satire
15e030c8-2c05cec4,satire,satire
24596e07-700c5c24,no-satire,no-satire
ce775e26-3f3a5241,no-satire,no-satire
c915c4aa-a54b1711,no-satire,no-satire
b3a5648c-1524df7a,no-satire,no-satire
b8399ce9-85b6ca21,satire,satire
32b608ed-11b2e297,no-satire,no-satire
a487b8b5-9eca694b,no-satire,no-satire
5ea4fcb1-eb6c21b2,no-satire,no-satire
8ce49d25-d18bd07f,no-satire,no-satire
b55cb725-d643af40,satire,satire
59cbf045-3522fda8,no-satire,no-satire
2f580cf2-45369b5e,no-satire,no-satire
c0316a21-d7fcc3f7,satire,satire
a4d5c6be-3c3a71cb,no-satire,no-satire
34473d8c-db9cc775,no-satire,no-satire
b214b863-e4be5ba4,satire,satire
8ca64c7c-ba27d7c7,no-satire,no-satire
49110914-d9f91668,no-satire,no-satire
6ef7cb0b-075e0303,satire,satire
3d0a67f1-3441bc1d,satire,satire
76052ba1-0abfe0ff,no-satire,no-satire
18b4bb1e-6bcbde96,no-satire,no-satire
edd183df-80e0376c,satire,satire
c0ddc538-4f149c91,satire,satire
6e6da964-79450548,no-satire,no-satire
f2fd882b-097f814f,no-satire,no-satire
823f64eb-d6a4fdb5,no-satire,no-satire
c5732449-1baa7b16,satire,satire
ef1ce6b1-5b6ec196,satire,satire
10e5d7a1-e7fd5ac2,satire,satire
5992032a-a219f722,satire,satire
a1027a1a-d169dddd,satire,satire
4cf109ce-906244d2,no-satire,no-satire
124f5cbf-6d812c43,no-satire,no-satire
45fcc07b-ed7192ca,no-satire,no-satire
d9f7e239-70ad54fc,no-satire,no-satire
79675277-6837b9e8,satire,satire
6dd6abb2-02dfb291,satire,satire
bff4f613-982346e7,no-satire,no-satire
9be2692e-2e2d3bbb,satire,satire
b2d46adc-7d3387a5,no-satire,no-satire
c5745c47-e7471303,no-satire,no-satire
85237efa-9e602410,no-satire,no-satire
e073f506-6774917f,satire,satire
49d6b304-3d517a75,satire,satire
e65b324f-5bb1ed3e,no-satire,no-satire
96923855-80f3cb8d,no-satire,no-satire
35ae14f7-d293672f,no-satire,no-satire
37edf782-dd1c3a33,satire,satire
46e467a3-acf4aa72,no-satire,no-satire
ac42e642-47e43039,satire,satire
231e7709-186fed21,no-satire,no-satire
effc3536-4c4fe3c5,no-satire,no-satire
9ba11817-27b4719e,no-satire,no-satire
57346313-edea51fc,no-satire,no-satire
2035bd17-ba301f4a,no-satire,no-satire
649741cc-86fbdab2,no-satire,no-satire
dde35b5e-76047a2a,no-satire,no-satire
9028b49a-ba7f9f93,satire,satire
1b453848-564d4b67,satire,satire
6a6f28ac-8b165343,no-satire,no-satire
f9562371-f9c0c154,no-satire,no-satire
02c426d4-b911b94b,satire,satire
ace39494-267774a5,satire,satire
07257a0d-5c639312,satire,satire
dde9bb55-23911833,satire,satire
46edf2f8-08569530,satire,satire
96a744b9-c9575c6d,no-satire,no-satire
2879669d-afafc236,no-satire,no-satire
afe7fbe3-22403ad7,no-satire,no-satire
438141be-ca1bf5d4,satire,satire
ee983ef4-878ae04d,no-satire,no-satire
690563ca-cf1fbb1e,satire,satire
0b3b0480-a21b20ea,no-satire,no-satire
1edab7f1-3bd37fe4,satire,satire
8ed6905e-8dd04717,no-satire,no-satire
40f0542c-fdcfecb8,no-satire,no-satire
679d7a02-344a2e3d,satire,satire
f0b0a5c9-dd30d5ae,no-satire,no-satire
bc8b7781-67ef75f3,satire,satire
21672fbc-09b6fac9,no-satire,no-satire
8dec66df-e9b35ce1,no-satire,no-satire
ecc4f8c1-1fc3942b,no-satire,no-satire
7aff76d7-6e6411b0,satire,satire
97046427-21c42d5f,satire,satire
47cdef6d-8b477005,no-satire,no-satire
ac6bdb30-13fc79c2,satire,satire
5db2df48-2f1422a0,no-satire,no-satire
f055a994-08e89b43,no-satire,no-satire
78e2bba9-0a4160fc,no-satire,no-satire
f94ad52f-b9787fd7,no-satire,no-satire
e496d409-684f30c1,satire,satire
1d537d3b-1c8661bb,satire,satire
edd432d1-d71c17c9,no-satire,no-satire
c971606c-52b5ff83,no-satire,no-satire
6d654d32-2553062c,satire,satire
b7854ff1-09cdd11a,no-satire,no-satire
b2058fec-07dadcfa,no-satire,no-satire
2363db5c-87e28ac7,satire,satire
4e92227d-fb61b5ed,no-satire,no-satire
7f1809ee-764a92ec,no-satire,no-satire
cb268b99-6cdefda1,no-satire,no-satire
c0b0973e-9979408e,no-satire,no-satire
e44346cd-2a860df7,no-satire,no-satire
9cd32116-0a8fb4e7,no-satire,no-satire
4db7b9ee-299d464f,no-satire,no-satire
99fee719-d10086bf,satire,satire
b56abb93-6f3cde09,satire,satire
1789f34e-c06dad2a,satire,satire
a30e7950-416fad4d,satire,satire
1e974256-0c35791b,satire,satire
a39d2cd7-6eb43dac,no-satire,no-satire
649bdf38-8283a421,no-satire,no-satire
0b5c4b33-b403163f,no-satire,no-satire
60b99b6e-d3f43e75,no-satire,no-satire
dfa1572e-314967f4,satire,satire
2247c43b-56119581,no-satire,no-satire
c873f7d2-46fcc1c9,satire,satire
a1fb7f1b-f788aec5,satire,satire
69e61915-5f1d18cc,no-satire,no-satire
95eb5880-dbbf3cbd,no-satire,no-satire
c42bc1c0-0a705142,no-satire,no-satire
89008e39-df8512c0,satire,satire
c6dba4c6-5e950f48,satire,satire
b81eb816-a0dd1cb8,satire,satire
9bacb64c-f71d2a2e,no-satire,no-satire
c907ebdf-451f98cd,satire,satire
52d596b0-63b59661,satire,satire
1e4f18ca-b7d0750d,no-satire,no-satire
c83c67ac-2a87de07,no-satire,no-satire
e8f78f83-22a21b08,satire,satire
679f41c4-4d7260e5,satire,satire
b65b3e50-d3900256,satire,satire
5e6d9a63-465ca434,no-satire,no-satire
8c50a992-75b50007,satire,satire
7741950f-fcbb474d,satire,satire
feb97116-428913fa,no-satire,no-satire
f3c44cb9-08190f66,satire,satire
7b092f1c-a647f782,no-satire,no-satire
60e50f3c-0e8bb609,satire,satire
7e573f9e-3a624dc0,no-satire,no-satire
fa9bca0b-6e75d173,satire,satire
7f397a5f-42c25a2f,no-satire,no-satire
cf6446a1-54fc47d1,no-satire,no-satire
58b8907b-742c418c,satire,satire
d1b99fff-c0b45451,satire,satire
0eeeb8f7-6649e8bd,no-satire,no-satire
ef9087fd-bf5145a9,satire,satire
6761b762-bb1aeccf,satire,satire
e1e4a6cb-9c40907c,no-satire,no-satire
5f890697-df9bab11,no-satire,no-satire
8cbe1e47-f0d42713,satire,satire
91e14517-7aa16b36,satire,satire
95d20b76-8b18d9dd,no-satire,no-satire
a4378506-212ce7ee,satire,satire
393f3696-f3213147,no-satire,no-satire
6e57a193-2384eccb,no-satire,no-satire
354daa8c-8e2c1e93,no-satire,no-satire
bc72d8f1-ce24dbe0,no-satire,no-satire
fcf67027-52f1f8f2,no-satire,no-satire
0ff6ac99-6213593e,satire,satire
66907d83-8bfa7cb4,no-satire,no-satire
1a2905b8-7888a38b,satire,satire
fce92a38-3adeadcb,no-satire,no-satire
988cec7d-91bcf638,satire,satire
e3649316-3d87b13e,no-satire,no-satire
c4ba7a12-a66735aa,no-satire,no-satire
1aee5833-f06ac24f,satire,satire
af4dff49-6656cba8,no-satire,no-satire
5b64ba47-518dfa1e,no-satire,no-satire
3c582770-eaaa2100,satire,satire
f0bbbe14-850bacfb,satire,satire
ffc38166-863fd8ee,satire,satire
028330d5-14cb9e8e,no-satire,no-satire
f86de517-8b22706d,satire,satire
e92e5553-9c487de6,satire,satire
5e583b31-06748836,satire,satire
9a00b90c-6924e819,satire,satire
e39c794a-4727def5,no-satire,no-satire
d61bbfe9-547bc5f4,no-satire,no-satire
9978da24-1349262b,satire,satire
e8082d54-63ea8d2b,no-satire,no-satire
8b69f9a1-3a9b176c,satire,satire
8c56fb7c-a67a33bb,no-satire,no-satire
aa822ac8-ed0d7b03,no-satire,no-satire
75f665b0-4668d26d,satire,satire
8c92bddf-6a6f835f,satire,satire
5bac916b-6108eaff,satire,satire
d3ca5bd8-7d596dc3,satire,satire
fa4bfec1-71375e4f,satire,satire
18c5e861-0af81aec,no-satire,no-satire
13562880-ec787886,no-satire,no-satire
59d028f9-4f883756,no-satire,no-satire
0b8f7f83-d3ed4187,no-satire,no-satire
3389ec75-9948ce35,satire,satire
ec85d500-ec0180e1,no-satire,no-satire
ceffe63d-b8bc78d6,satire,satire
578cfaad-ddd5504c,no-satire,no-satire
add1216b-1bb9856c,no-satire,no-satire
727db9d7-ff8f4852,satire,satire
dc09b8e4-90dae311,satire,satire
7fcca8a8-ca403118,satire,satire
2ceb870b-a922f7c6,no-satire,no-satire
157e0ad2-a11d857c,satire,satire
63014c74-5eef349a,no-satire,no-satire
9c481373-029ab249,satire,satire
97de8908-39b4a0db,satire,satire
8ce9bbf6-9af693ca,no-satire,no-satire
648c7830-8ae58393,satire,satire
